711,1,1
712,0,1
713,2,4
714,0,1
715,2,4
716,4,8
717,1,2
718,6,10
719,0,3
720,1,6
721,0,1
722,0,2
723,18,28
724,20,36
725,0,1
726,1,2
727,0,1
728,8,15
729,3,5
730,1,1
731,0,1
732,7,13
733,0,3
734,0,1
735,1,1
736,1,2
737,9,20
738,1,2
739,0,1
740,16,33
741,1,2
742,9,15
743,1,1
744,2,5
745,1,1
746,0,1
747,10,16
748,18,27
749,9,15
750,0,1
751,7,8
752,0,2
753,8,12
754,2,3
755,0,2
756,0,1
757,2,5
758,0,1
759,7,23
760,0,1
761,1,1
762,4,8
763,2,2
764,1,1
765,3,9
766,2,4
767,2,2
768,0,1
769,0,5
770,0,1
771,2,3
772,1,4
773,0,1
774,3,5
775,0,1
776,0,1
777,1,1
778,10,27
779,2,2
780,18,42
781,2,3
782,4,6
783,10,19
784,12,17
785,0,2
786,3,3
787,17,30
788,20,34
789,6,14
790,0,1
791,0,1
792,9,15
793,0,1
794,0,1
795,7,11
796,9,19
797,0,1
798,0,1
799,1,1
800,0,2
801,1,2
802,22,39
803,3,5
804,9,18
805,0,1
806,0,1
807,2,4
808,9,17
809,2,3
810,4,6
811,1,3
812,0,1
813,0,1
814,2,4
815,28,47
816,0,1
817,27,51
818,2,4
819,0,1
820,2,4
821,5,8
822,1,2
823,0,1
824,6,10
825,0,1
826,0,1
827,8,19
828,0,1
829,0,1
830,9,16
831,1,1
832,1,1
833,20,40
834,2,2
835,16,27
836,4,5
837,16,34
838,0,1
839,2,4
840,3,4
841,6,12
842,0,1
843,1,3
844,13,22
845,10,25
846,0,1
847,0,1
848,16,26
849,0,1
850,38,66
851,22,37
852,0,1
853,18,27
854,2,3
855,22,39
856,0,1
857,1,2
858,1,1
859,0,1
860,4,5
861,25,45
862,0,2
863,6,15
864,0,2
865,2,3
866,0,1
867,0,1
868,0,1
869,23,34
870,9,14
871,0,1
872,0,1
873,11,20
874,0,1
875,2,5
876,18,38
877,27,52
878,2,7
879,1,1
880,0,1
881,0,1
882,0,1
883,2,2
884,1,1
885,12,21
886,7,10
887,33,51
888,8,15
889,1,1
890,22,47
891,0,1
892,1,2
893,1,1
894,18,33
895,12,18
896,0,1
897,1,1
898,1,2
899,3,5
900,25,45
901,0,1
902,38,80
903,1,1
904,1,3
905,28,46
906,0,1
907,0,3
908,1,1
909,0,2
910,8,14
911,1,2
